Country,Total
South Sudan,113.35731518994112
Somalia,113.20079608219345
Yemen,112.6715037597987
Syria,111.39303110352296
Central African Republic,111.12634461231347
Congo Democratic Republic,110.67036484651267
Sudan,108.66319439644046
Chad,108.31187045747872
Afghanistan,106.62076809859943
Zimbabwe,102.29375253209211
Iraq,102.20568542153825
Haiti,101.96955214756449
Guinea,101.6167424753827
Nigeria,99.90823160615737
Ethiopia,99.56909778499838
Guinea Bissau,98.09458991085195
Kenya,97.38051499327098
Burundi,97.36424028418537
Eritrea,97.20823903623204
Pakistan,96.33806005544712
Niger,96.1529034434838
Myanmar,96.09231014136056
Cameroon,95.31218119378651
Uganda,95.14379555232746
Libya,94.60000000000001
Cote d'Ivoire,94.56151916975632
Mali,93.58132105894025
North Korea,93.2
Congo Republic,93.12762985550377
Liberia,92.560250792477
Mauritania,92.15282858350263
Bangladesh,90.31281723205385
Angola,89.44029612068627
Rwanda,89.28772432240727
Sierra Leone,89.08699644672271
Egypt,88.73736287679192
Mozambique,88.65413449837652
Timor-Leste,88.25683064064846
Nepal,87.87642693759165
Swaziland,87.54065035971811
Zambia,87.22404970609999
Djibouti,87.11477754799978
Gambia,87.06418531960836
Lebanon,86.81328586730942
Burkina Faso,86.5236375122382
Venezuela,86.20692501836953
Philippines,85.49988187329669
Malawi,85.48762156104438
Togo,85.15884542590535
Sri Lanka,84.89668808927048
Papua New Guinea,84.77026579816999
Iran,84.27111516741917
Cambodia,84.04889218927363
Madagascar,83.57162962089447
Equatorial Guinea,83.39889583816712
Solomon Islands,83.10491831793692
Comoros,82.62279134247851
Turkey,82.21903599918711
Guatemala,81.83670919240136
Laos,80.72431003670523
Lesotho,80.13336187638737
Senegal,79.62828847155544
Tajikistan,79.5020376295363
Tanzania,79.38569084972285
Uzbekistan,79.1
Kyrgyz Republic,78.6341219093271
Israel and West Bank,78.53374002748376
Honduras,77.2624416679196
Russia,77.16545659420007
Jordan,76.75207113512026
Colombia,76.62792958051614
India,76.30850993941235
Algeria,75.78505154191771
Benin,75.69009689938682
Nicaragua,75.32932129736191
Bolivia,75.22337886150169
Thailand,74.98003133114115
Azerbaijan,74.63031997786744
Fiji,74.51822129476686
Micronesia,74.4370879237946
Bhutan,74.27398470769302
Ecuador,74.23122556430408
Morocco,74.00415254787698
Georgia,74.00003923403446
South Africa,72.89999999999999
Turkmenistan,72.62111503765558
Ukraine,72.56161244731106
Gabon,72.47628284232633
Maldives,72.4
China,72.39504122741063
Indonesia,72.29772813709069
Sao Tome and Principe,72.1307816493097
Tunisia,72.0706745688338
Mexico,71.5181435915789
Bosnia and Herzegovina,71.33654613766848
El Salvador,71.16006105064231
Belarus,70.54071433248335
Guyana,70.35847016331266
Saudi Arabia,70.23498732317032
Peru,70.0729820656276
Paraguay,69.75151701076081
Moldova,69.54603613998039
Armenia,69.5452238194412
Dominican Republic,69.19632518627424
Namibia,68.81558956891207
Brazil,68.7131308082741
Vietnam,68.39565234056963
Ghana,68.1221863165064
Serbia,68.0600623653456
Cape Verde,68.00000000000001
Samoa,65.53086971578227
Macedonia,64.79715789270658
Bahrain,64.38675794712286
Suriname,64.01235952203785
Belize,63.71214888532026
Malaysia,63.59483707832034
Kazakhstan,63.43851484252681
Jamaica,63.11945865018858
Cuba,62.89031679299263
Botswana,61.98745014345976
Cyprus,60.286306956278125
Albania,60.07930843597633
Grenada,59.9
Brunei Darussalam,59.80623958429162
Seychelles,56.754155689071474
Kuwait,55.8914871882463
Antigua and Barbuda,55.6110407346696
Montenegro,55.338419760815825
Greece,55.28241010073139
Mongolia,54.87347128912537
Trinidad and Tobago,54.605739840210504
Oman,52.64980160350626
Bulgaria,51.65420796469111
Hungary,50.20431326900252
Bahamas,49.99124184605109
Panama,49.48072267554133
Romania,49.36140868153144
Croatia,48.71641829811867
Barbados,48.18332936752863
Qatar,48.06415433835673
Argentina,46.06992256962885
Latvia,44.899921744994565
Italy,43.8
Costa Rica,43.236723940075855
Estonia,42.990053644081904
United Arab Emirates,42.8292445126518
Slovak Republic,42.47488888000861
Poland,41.46116976149038
Spain,41.38298112031969
Chile,40.69103612258534
Mauritius,40.49020053885572
Lithuania,39.40955428935555
Czech Republic,39.047601456270876
United States,37.7
Malta,36.2062447804085
South Korea,35.73391458947191
Uruguay,35.444748420198586
Japan,34.47489966723306
United Kingdom,34.29882224337588
France,32.22701109659329
Singapore,30.421202731235
Slovenia,30.33350186495465
Belgium,29.653650451578354
Portugal,27.273450536625276
Austria,26.181880301496445
Netherlands,26.16998872873363
Germany,25.83337235566515
Canada,21.505583938323312
New Zealand,20.888699780987427
Sweden,20.818812325589526
Australia,20.77076600209908
Luxembourg,20.757276455472248
Ireland,20.7393047786885
Iceland,20.3
Denmark,19.785177227543933
Switzerland,19.20952631375106
Norway,18.25872156828166
Finland,17.934251926521828
