name,iso_a3,currency_code,local_price,dollar_ex,GDP_dollar,date
Argentina,ARG,ARS,2.5,1,,4/1/00
Australia,AUS,AUD,2.59,1.68,,4/1/00
Brazil,BRA,BRL,2.95,1.79,,4/1/00
Britain,GBR,GBP,1.9,0.632911392,,4/1/00
Canada,CAN,CAD,2.85,1.47,,4/1/00
Chile,CHL,CLP,1260,514,,4/1/00
China,CHN,CNY,9.9,8.28,,4/1/00
Czech Republic,CZE,CZK,54.37,39.1,,4/1/00
Denmark,DNK,DKK,24.75,8.04,,4/1/00
Euro area,EUZ,EUR,2.56,1.075268817,,4/1/00
Hong Kong,HKG,HKD,10.2,7.79,,4/1/00
Hungary,HUN,HUF,339,279,,4/1/00
Indonesia,IDN,IDR,14500,7945,,4/1/00
Israel,ISR,ILS,14.5,4.05,,4/1/00
Japan,JPN,JPY,294,106,,4/1/00
Malaysia,MYS,MYR,4.52,3.8,,4/1/00
Mexico,MEX,MXN,20.9,9.41,,4/1/00
New Zealand,NZL,NZD,3.4,2.01,,4/1/00
Poland,POL,PLN,5.5,4.3,,4/1/00
Russia,RUS,RUB,39.5,28.5,,4/1/00
Singapore,SGP,SGD,3.2,1.7,,4/1/00
South Africa,ZAF,ZAR,9,6.72,,4/1/00
South Korea,KOR,KRW,3000,1108,,4/1/00
Sweden,SWE,SEK,24,8.84,,4/1/00
Switzerland,CHE,CHF,5.9,1.7,,4/1/00
Taiwan,TWN,TWD,70,30.6,,4/1/00
Thailand,THA,THB,55,38,,4/1/00
United States,USA,USD,2.51,1,,4/1/00
Argentina,ARG,ARS,2.5,1,,4/1/01
Australia,AUS,AUD,3,1.98,,4/1/01
Brazil,BRA,BRL,3.6,2.19,,4/1/01
Britain,GBR,GBP,1.99,0.699300699,,4/1/01
Canada,CAN,CAD,3.33,1.56,,4/1/01
Chile,CHL,CLP,1260,601,,4/1/01
China,CHN,CNY,9.9,8.28,,4/1/01
Czech Republic,CZE,CZK,56,39,,4/1/01
Denmark,DNK,DKK,24.75,8.46,,4/1/01
Euro area,EUZ,EUR,2.57,1.136363636,,4/1/01
Hong Kong,HKG,HKD,10.7,7.8,,4/1/01
Hungary,HUN,HUF,399,303,,4/1/01
Indonesia,IDN,IDR,14700,10855,,4/1/01
Japan,JPN,JPY,294,124,,4/1/01
Malaysia,MYS,MYR,4.52,3.8,,4/1/01
